trait_id	trait	category	raw_file	file_name	analysis_file	sample_size_source	has_Probe	has_Voxel	needs_Voxel_to_Probe	include	notes
Alcohol_merge_phenotype	Alcohol_merge_phenotype	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_Alcohol_merge_phenotype.linear	sstat_FS_All_moda_total_Alcohol_merge_phenotype.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_Alcohol_merge_phenotype.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
Alcohol_week_avg	Alcohol_week_avg	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_Alcohol_week_avg.linear	sstat_FS_All_moda_total_Alcohol_week_avg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_Alcohol_week_avg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
BD	BD	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_BD.linear	sstat_FS_All_moda_total_BD.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_BD.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
Menopause	Menopause	hormonal_sex_specific	SSTAT_BingJing/sstat_FS_All_moda_total_Menopause.linear	sstat_FS_All_moda_total_Menopause.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_Menopause.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
PTSD	PTSD	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_PTSD.linear	sstat_FS_All_moda_total_PTSD.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_PTSD.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
SCZ	SCZ	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_SCZ.linear	sstat_FS_All_moda_total_SCZ.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_SCZ.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
T2D	T2D	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_T2D.linear	sstat_FS_All_moda_total_T2D.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_T2D.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
age_completed_education	age_completed_education	social_socioeconomic	SSTAT_BingJing/sstat_FS_All_moda_total_age_completed_education.linear	sstat_FS_All_moda_total_age_completed_education.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_age_completed_education.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
alcohol_intake_frequency	alcohol_intake_frequency	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_alcohol_intake_frequency.linear	sstat_FS_All_moda_total_alcohol_intake_frequency.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_alcohol_intake_frequency.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
anxDis	anxDis	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_anxDis.linear	sstat_FS_All_moda_total_anxDis.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_anxDis.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
anxiety_broad_preimg	anxiety_broad_preimg	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_anxiety_broad_preimg.linear	sstat_FS_All_moda_total_anxiety_broad_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_anxiety_broad_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
bd_broad_preimg	bd_broad_preimg	psychiatric	SSTAT_BingJing/sstat_FS_All_moda_total_bd_broad_preimg.linear	sstat_FS_All_moda_total_bd_broad_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_bd_broad_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
beer_cider_weekly_intake	beer_cider_weekly_intake	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_beer_cider_weekly_intake.linear	sstat_FS_All_moda_total_beer_cider_weekly_intake.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_beer_cider_weekly_intake.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
bmi	bmi	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_bmi.linear	sstat_FS_All_moda_total_bmi.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_bmi.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
daytime_napping	daytime_napping	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_daytime_napping.linear	sstat_FS_All_moda_total_daytime_napping.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_daytime_napping.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
diabetes_doctor_dx	diabetes_doctor_dx	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_diabetes_doctor_dx.linear	sstat_FS_All_moda_total_diabetes_doctor_dx.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_diabetes_doctor_dx.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
diabetes_preimg	diabetes_preimg	vascular_metabolic	SSTAT_BingJing/sstat_FS_All_moda_total_diabetes_preimg.linear	sstat_FS_All_moda_total_diabetes_preimg.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_diabetes_preimg.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
eid	eid	exclude_candidate	SSTAT_BingJing/sstat_FS_All_moda_total_eid.linear	sstat_FS_All_moda_total_eid.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_eid.Probe.linear	NMISS	false	true	true	false	excluded from default batch
ever_drinker	ever_drinker	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_ever_drinker.linear	sstat_FS_All_moda_total_ever_drinker.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_ever_drinker.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
fortified_wine_weekly_intake	fortified_wine_weekly_intake	lifestyle	SSTAT_BingJing/sstat_FS_All_moda_total_fortified_wine_weekly_intake.linear	sstat_FS_All_moda_total_fortified_wine_weekly_intake.linear	outputs/batch/derived_inputs/sstat_FS_All_moda_total_fortified_wine_weekly_intake.Probe.linear	NMISS	false	true	true	true	candidate risk-factor BWAS
